source_key,citation_count,citation_lines,citation_sections,citation_contexts,doi_or_url,metadata_provider,metadata_status,source_type,title,authors,year,venue,volume,issue,pages,publisher,is_referenced_by_count,metadata_notes,review_status,recommended_action,raw_entry
Allen1974,1,431,Bases B-spline unidimensionales,"Si \(H=X(X^ X+ I)^{-1}X^\) es la matriz sombrero, su diagonal \(h_{qq}\) mide la sensibilidad del valor ajustado en el nodo \(q\) a su propia observación. Valores cercanos a uno indican alto leverage {HoaglinWelsch1978}. El residuo leave-one-out puede aproximarse por \(e_q/(1-h_{qq})\), lo que permite construir la suma de cuadrados predictiva PRESS sin reestimar 65 veces la superficie; el uso de PRESS como criterio de predicción se remonta a Allen {Allen1974}. En esta tesis, el leverage y el RMSE de ajuste se reportan como diagnósticos; no se utilizan para elegir retrospectivamente una base que favorezca un modelo de pronóstico.",10.1080/00401706.1974.10489157,Crossref,verified,journal-article,The Relationship Between Variable Selection and Data Agumentation and a Method for Prediction,"Allen, David M.",1974,Technometrics,16,1,125-127,Informa UK Limited,1119,title differs or is absent: The Relationship Between Variable Selection and Data Agumentation and a Method for Prediction,pending_substantive_review,inspect_metadata_difference,"Allen, D. M. (1974). The Relationship Between Variable Selection and Data Augmentation and a Method for Prediction. \emph{Technometrics}, 16(1), 125--127. \url{https://doi.org/10.1080/00401706.1974.10489157}"
AstonKirch2012,1,911,Métricas de evaluación,"El diseño se apoya en el marco de series funcionales temporalmente dependientes de Hörmann y Kokoszka {HormannKokoszka2010}. El escenario de cambio de régimen se incorpora como una alternativa controlada de no estacionariedad; la literatura de cambios en datos funcionales dependientes muestra por qué alteraciones de media o dinámica pueden modificar los subespacios estimados y la inferencia basada en componentes principales {AstonKirch2012}. Las formas, parámetros y fecha del quiebre elegidos aquí pertenecen al diseño experimental de la tesis y no se calibran para reproducir un episodio empírico específico.",10.1016/j.jmva.2012.03.006,Crossref,verified,journal-article,Detecting and estimating changes in dependent functional data,"Aston, John A.D.; Kirch, Claudia",2012,Journal of Multivariate Analysis,109,,204-220,Elsevier BV,81,,pending_substantive_review,retain,"Aston, J. A. D., \& Kirch, C. (2012). Detecting and Estimating Changes in Dependent Functional Data. \emph{Journal of Multivariate Analysis}, 109, 204--220. \url{https://doi.org/10.1016/j.jmva.2012.03.006}"
Aue2015,1,300,"Series funcionales, ARH y regresión no paramétrica","La dimensión dinámica se relaciona con procesos autorregresivos en espacios de Hilbert. Bosq {Bosq2000} formaliza procesos lineales funcionales y modelos ARH; Bosq y Blanke {BosqBlanke2007} desarrollan inferencia y predicción en alta dimensión. Aue et al. {Aue2015} presentan teoría y métodos de predicción para series funcionales estacionarias. Estos trabajos justifican modelar la dependencia temporal de una observación funcional mediante operadores, que en la práctica deben regularizarse o truncarse para poder estimarse con muestras finitas.",10.1080/01621459.2014.909317,Crossref,verified,journal-article,On the Prediction of Stationary Functional Time Series,"Aue, Alexander; Norinho, Diogo Dubart; Hörmann, Siegfried",2015,Journal of the American Statistical Association,110,509,378-392,Informa UK Limited,181,,pending_substantive_review,retain,"Aue, A., Norinho, D. D., \& Hörmann, S. (2015). On the Prediction of Stationary Functional Time Series. \emph{Journal of the American Statistical Association}, 110(509), 378--392. \url{https://doi.org/10.1080/01621459.2014.909317}"
Avellaneda2020,1,280,Superficies de volatilidad y factores comunes,"Cont y Da Fonseca {ContDaFonseca2002} documentan que las superficies de volatilidad implícita presentan dinámicas de factores comunes. Fengler et al. {Fengler2003} analizan componentes principales comunes y muestran que una fracción importante de la variación puede organizarse mediante pocos movimientos coordinados. El preprint de Avellaneda et al. {Avellaneda2020} retoma la representación por componentes principales para superficies de opciones sobre índices. En conjunto, estos trabajos respaldan la búsqueda de estructuras latentes parsimoniosas, aunque no implican que el modelo con mejor representación histórica sea necesariamente el mejor predictor fuera de muestra.",10.48550/arxiv.2002.00085,DataCite,verified,Preprint,PCA for Implied Volatility Surfaces,"Avellaneda, Marco; Healy, Brian; Papanicolaou, Andrew; Papanicolaou, George",2020,arXiv,,,,arXiv,,,pending_substantive_review,retain,"Avellaneda, M., Healy, B., Papanicolaou, A., \& Papanicolaou, G. (2020). PCA for Implied Volatility Surfaces. arXiv:2002.00085. \url{https://doi.org/10.48550/arXiv.2002.00085}"
BIS2025,1,282,Superficies de volatilidad y factores comunes,"La evidencia disponible se concentra en mercados desarrollados, índices accionarios y pares FX líquidos. Existen, sin embargo, aplicaciones con opciones sobre BRL, MXN y CLP: Reus et al. {ReusCarrascoPincheira2020} estudian la información predictiva de la sonrisa para esas tres monedas latinoamericanas, además de cuatro monedas desarrolladas. El contexto de mercado también es heterogéneo: la encuesta trienal del BIS registra una participación creciente, pero concentrada, de monedas emergentes en el volumen FX mundial {BIS2025}. Los pares latinoamericanos de esta tesis amplían ese ámbito empírico mediante una malla publicada homogénea. La liquidez no se mide directamente y, por ello, no se utiliza como explicación causal de diferencias entre pares.",https://www.bis.org/statistics/rpfx25_fx.htm,,manual_review,,,,,,,,,,,,pending_substantive_review,retain,Bank for International Settlements. (2025). \emph{Triennial Central Bank Survey: OTC Foreign Exchange Turnover in April 2025}. \url{https://www.bis.org/statistics/rpfx25_fx.htm}
Bosq2000,1,300,"Series funcionales, ARH y regresión no paramétrica","La dimensión dinámica se relaciona con procesos autorregresivos en espacios de Hilbert. Bosq {Bosq2000} formaliza procesos lineales funcionales y modelos ARH; Bosq y Blanke {BosqBlanke2007} desarrollan inferencia y predicción en alta dimensión. Aue et al. {Aue2015} presentan teoría y métodos de predicción para series funcionales estacionarias. Estos trabajos justifican modelar la dependencia temporal de una observación funcional mediante operadores, que en la práctica deben regularizarse o truncarse para poder estimarse con muestras finitas.",10.1007/978-1-4612-1154-9,Crossref,verified,book,Linear Processes in Function Spaces,"Bosq, Denis",2000,Lecture Notes in Statistics,,,,Springer New York,624,,pending_substantive_review,retain,"Bosq, D. (2000). \emph{Linear Processes in Function Spaces}. Springer. \url{https://doi.org/10.1007/978-1-4612-1154-9}"
BosqBlanke2007,1,300,"Series funcionales, ARH y regresión no paramétrica","La dimensión dinámica se relaciona con procesos autorregresivos en espacios de Hilbert. Bosq {Bosq2000} formaliza procesos lineales funcionales y modelos ARH; Bosq y Blanke {BosqBlanke2007} desarrollan inferencia y predicción en alta dimensión. Aue et al. {Aue2015} presentan teoría y métodos de predicción para series funcionales estacionarias. Estos trabajos justifican modelar la dependencia temporal de una observación funcional mediante operadores, que en la práctica deben regularizarse o truncarse para poder estimarse con muestras finitas.",10.1002/9780470724033,Crossref,verified,monograph,Inference and Prediction in Large Dimensions,"Bosq, Denis; Blanke, Delphine",2007,Wiley Series in Probability and Statistics,,,,Wiley,70,,pending_substantive_review,retain,"Bosq, D., \& Blanke, D. (2007). \emph{Inference and Prediction in Large Dimensions}. Wiley. \url{https://doi.org/10.1002/9780470724033}"
CarrWu2007,1,264,Patrones típicos,"La lectura económica de estos patrones debe ser prudente. Carr y Wu {CarrWu2007} relacionan la sonrisa y su inclinación con colas gruesas y asimetría de la distribución neutral al riesgo, mientras Chalamandaris y Tsekrekos {ChalamandarisTsekrekos2010} destacan que la forma observada agrega creencias mediante la oferta y demanda de opciones. Un cambio de nivel modifica el costo general de la protección; una variación del skew altera el precio relativo de movimientos en direcciones opuestas; y una variación de curvatura modifica el precio relativo de eventos alejados del centro de la distribución. No obstante, la FPCA identifica covariación estadística y no causas estructurales. Por ello, en los resultados las componentes se describen por la deformación que generan sobre la superficie, sin a",10.1016/j.jfineco.2006.03.010,Crossref,verified,journal-article,Stochastic skew in currency options☆,"CARR, P; WU, L",2007,Journal of Financial Economics,86,1,213-247,Elsevier BV,284,,pending_substantive_review,retain,"Carr, P., \& Wu, L. (2007). Stochastic Skew in Currency Options. \emph{Journal of Financial Economics}, 86(1), 213--247. \url{https://doi.org/10.1016/j.jfineco.2006.03.010}"
ChalamandarisTsekrekos2010,2,264; 308,Patrones típicos | Evaluación predictiva y benchmark de persistencia,"La lectura económica de estos patrones debe ser prudente. Carr y Wu {CarrWu2007} relacionan la sonrisa y su inclinación con colas gruesas y asimetría de la distribución neutral al riesgo, mientras Chalamandaris y Tsekrekos {ChalamandarisTsekrekos2010} destacan que la forma observada agrega creencias mediante la oferta y demanda de opciones. Un cambio de nivel modifica el costo general de la protección; una variación del skew altera el precio relativo de movimientos en direcciones opuestas; y una variación de curvatura modifica el precio relativo de eventos alejados del centro de la distribución. No obstante, la FPCA identifica covariación estadística y no causas estructurales. Por ello, en los resultados las componentes se describen por la deformación que generan sobre la superficie, sin a || La persistencia se incluye como referencia principal porque copiar la última observación constituye la predicción mínima que un modelo dinámico debe mejorar. En superficies FX, Chalamandaris y Tsekrekos {ChalamandarisTsekrekos2010} comparan sus modelos contra una caminata aleatoria y describen este tipo de referencia como difícil de superar a horizontes cortos; Shang y Kearney {ShangKearney2022} también evalúan métodos funcionales dinámicos contra benchmarks establecidos. Su simplicidad no vuelve irrelevante a PM: si el objeto cambia lentamente, una regla sin parámetros puede evitar error de estimación. Además, PM conserva la malla cruda, mientras que PA y los modelos de puntajes comparten el costo de la representación funcional. Esta diferencia permite identificar si una eventual pérdida ",10.1016/j.jbankfin.2009.11.014,Crossref,verified,journal-article,Predictable dynamics in implied volatility surfaces from OTC currency options,"Chalamandaris, Georgios; Tsekrekos, Andrianos E.",2010,Journal of Banking & Finance,34,6,1175-1188,Elsevier BV,32,,pending_substantive_review,retain,"Chalamandaris, G., \& Tsekrekos, A. E. (2010). Predictable Dynamics in Implied Volatility Surfaces from OTC Currency Options. \emph{Journal of Banking \& Finance}, 34(6), 1175--1188. \url{https://doi.org/10.1016/j.jbankfin.2009.11.014}"
ContDaFonseca2002,2,96; 280,Introducción | Superficies de volatilidad y factores comunes,"La literatura muestra que las superficies de volatilidad suelen estar gobernadas por pocos factores latentes. Cont y Da Fonseca {ContDaFonseca2002} y Fengler et al. {Fengler2003} documentan estructuras comunes en volatilidades implícitas. En la literatura arbitrada, Kearney et al. {Kearney2018}, Shang y Kearney {ShangKearney2022} y Tan et al. {Tan2024} desarrollan enfoques funcionales para pronosticar superficies o procesos de volatilidad. Como antecedentes complementarios, Jaimungal y Ng {JaimungalNg2007} presentan un VAR-FPCA para curvas financieras en actas de conferencia y Weaver et al. {Weaver2020} aplican FPCA al pronóstico de superficies FX en un informe institucional. Estas contribuciones motivan la pregunta central de esta tesis: en una muestra reciente y densa de superficies camb || Cont y Da Fonseca {ContDaFonseca2002} documentan que las superficies de volatilidad implícita presentan dinámicas de factores comunes. Fengler et al. {Fengler2003} analizan componentes principales comunes y muestran que una fracción importante de la variación puede organizarse mediante pocos movimientos coordinados. El preprint de Avellaneda et al. {Avellaneda2020} retoma la representación por componentes principales para superficies de opciones sobre índices. En conjunto, estos trabajos respaldan la búsqueda de estructuras latentes parsimoniosas, aunque no implican que el modelo con mejor representación histórica sea necesariamente el mejor predictor fuera de muestra.",10.1088/1469-7688/2/1/304,Crossref,verified,journal-article,Dynamics of implied volatility surfaces,"Cont, Rama; da Fonseca, José",2002,Quantitative Finance,2,1,45-60,Informa UK Limited,325,,pending_substantive_review,retain,"Cont, R., \& Da Fonseca, J. (2002). Dynamics of Implied Volatility Surfaces. \emph{Quantitative Finance}, 2(1), 45--60. \url{https://doi.org/10.1088/1469-7688/2/1/304}"
