claim_id,claim_type,claim_text,section,source_key,doi_or_url,title,authors,year,venue,volume,issue,pages,publisher,source_type,evidence_note,limitation_note,verification_status,metadata_source,verified_on,notes
REF-01,methodological,"Las superficies FX se cotizan mediante convenciones de delta, ATM, risk reversal y butterfly que deben distinguirse antes de interpretar la malla.",Cotizacion de opciones sobre divisas,ReiswichWystup2010,10.3905/jod.2010.18.2.058,A Guide to FX Options Quoting Conventions,"Reiswich, Dimitri; Wystup, Uwe",2010,The Journal of Derivatives,18,2,58-68,Institutional Investor Journals,article,"Documenta variantes de delta spot y forward, ajustes por prima, definiciones ATM y conversiones usadas en opciones FX.","No demuestra que Bloomberg aplicara una convencion concreta a cada nodo de vols3.xlsx; la tesis toma la malla final como dato.",incorporated,Publisher,2026-07-16,
REF-02,theoretical,"La sonrisa y su inclinacion contienen informacion sobre colas y asimetria de la distribucion neutral al riesgo.",Patrones tipicos,CarrWu2007,10.1016/j.jfineco.2006.03.010,Stochastic Skew in Currency Options,"Carr, Peter; Wu, Liuren",2007,Journal of Financial Economics,86,1,213-247,Elsevier,article,"Relaciona la forma e inclinacion de la sonrisa FX con colas gruesas y asimetria neutral al riesgo.","Estudia pares liquidos y no identifica la causa de cada movimiento observado en los ocho pares de la tesis.",incorporated,Publisher,2026-07-16,
REF-02,theoretical,"La forma de una superficie FX resume creencias y presiones de oferta y demanda, pero una FPCA no identifica causas estructurales.",Patrones tipicos,ChalamandarisTsekrekos2010,10.1016/j.jbankfin.2009.11.014,Predictable Dynamics in Implied Volatility Surfaces from OTC Currency Options,"Chalamandaris, Georgios; Tsekrekos, Andrianos E.",2010,Journal of Banking & Finance,34,6,1175-1188,Elsevier,article,"Analiza factores de superficies FX OTC y discute la informacion agregada en su forma y dinamica.","No permite atribuir automaticamente una componente de la muestra actual a una noticia o preferencia de cobertura concreta.",incorporated,Publisher,2026-07-16,
REF-03,empirical_external,"La caminata aleatoria o persistencia es un benchmark empirico exigente para pronosticos de corto horizonte de superficies de volatilidad FX.",Evaluacion predictiva y benchmark de persistencia,ChalamandarisTsekrekos2010,10.1016/j.jbankfin.2009.11.014,Predictable Dynamics in Implied Volatility Surfaces from OTC Currency Options,"Chalamandaris, Georgios; Tsekrekos, Andrianos E.",2010,Journal of Banking & Finance,34,6,1175-1188,Elsevier,article,"Compara modelos de factores con una caminata aleatoria y muestra que la superioridad agregada de corto horizonte es dificil.","Sus monedas, periodo, perdida y especificaciones difieren; motiva el benchmark pero no anticipa el ganador en esta muestra.",incorporated,Publisher,2026-07-16,
REF-04,empirical_external,"Existe evidencia empirica sobre informacion de opciones FX para BRL, MXN y CLP, tres monedas latinoamericanas incluidas en el estudio.",Mercados emergentes y latinoamericanos,ReusCarrascoPincheira2020,10.1016/j.frl.2019.07.024,Do It with a Smile: Forecasting Volatility with Currency Options,"Reus, Lorenzo; Carrasco, Jose A.; Pincheira, Pablo",2020,Finance Research Letters,34,,101251,Elsevier,article,"Estudia informacion predictiva de la sonrisa para BRL, MXN y CLP junto con monedas desarrolladas.","Pronostica volatilidad del subyacente y no la malla completa con FPCA; tampoco cubre PEN, COP o ARS.",incorporated,Publisher,2026-07-16,
REF-04,institutional_context,"Las monedas emergentes tienen una presencia material pero heterogenea y concentrada en el mercado FX mundial.",Mercados emergentes y latinoamericanos,BIS2025,https://www.bis.org/statistics/rpfx25_fx.htm,Triennial Central Bank Survey: OTC Foreign Exchange Turnover in April 2025,"Bank for International Settlements",2025,Bank for International Settlements,,,,Bank for International Settlements,institutional,"La encuesta trienal cuantifica volumen y composicion del mercado FX por moneda, instrumento y contraparte.","Los agregados no permiten inferir liquidez de opciones ni explicar diferencias de RMSE para cada par de la tesis.",incorporated,BIS,2026-07-16,
REF-05,methodological,"PRESS proporciona un diagnostico predictivo leave-one-out para ajustes lineales.",Bases B-spline y diagnosticos de ajuste,Allen1974,10.1080/00401706.1974.10489157,The Relationship Between Variable Selection and Data Augmentation and a Method for Prediction,"Allen, David M.",1974,Technometrics,16,1,125-127,Taylor & Francis,article,"Introduce y fundamenta la suma de cuadrados predictiva asociada a predicciones leave-one-out.","No selecciona bases tensoriales para superficies de volatilidad; esa aplicacion es una extension algebraica en la tesis.",incorporated,Publisher,2026-07-16,
REF-05,methodological,"La diagonal de la matriz sombrero mide la influencia de una observacion sobre su propio valor ajustado.",Bases B-spline y diagnosticos de ajuste,HoaglinWelsch1978,10.1080/00031305.1978.10479237,The Hat Matrix in Regression and ANOVA,"Hoaglin, David C.; Welsch, Roy E.",1978,The American Statistician,32,1,17-22,Taylor & Francis,article,"Explica la interpretacion geometrica de la matriz sombrero y de sus elementos diagonales como leverage.","No establece un umbral universal de leverage para la malla; los umbrales del script son diagnosticos descriptivos.",incorporated,Publisher,2026-07-16,
REF-06,methodological,"KernelARH usa una extension multivariada de una media condicional estimada mediante promedios locales kernel.",Metodologia de KernelARH,Nadaraya1964,10.1137/1109020,On Estimating Regression,"Nadaraya, E. A.",1964,Theory of Probability & Its Applications,9,1,141-142,SIAM,article,"Proporciona la base original del estimador de regresion como promedio local ponderado por un nucleo.","No contiene la combinacion especifica con errores ARH, estandarizacion ni la regla de respaldo numerico del script.",incorporated,Publisher,2026-07-16,
REF-06,methodological,"El ancho de banda kernel controla el compromiso entre localidad, sesgo y variabilidad y debe seleccionarse dentro del entrenamiento.",Metodologia de KernelARH,Tsybakov1988,10.1137/1132018,On the Choice of the Bandwidth in Kernel Nonparametric Regression,"Tsybakov, Alexandre B.",1988,Theory of Probability & Its Applications,32,1,142-148,SIAM,article,"Formaliza el papel central del ancho de banda en regresion kernel y su compromiso entre localidad y estabilidad.","No justifica la grilla ni el criterio secuencial exactos implementados; estos son decisiones computacionales transparentadas.",incorporated,Publisher,2026-07-16,
